id/s,review_count/n,categories/s,rating/n,like
d7YbQzGlmawMGAzUHzZvuw,956,Mexican,3.5,1
ZUBqQZwMGZSOVbfpOI_uyg,953,Chinese,3.5,1
okNIE5TrZVy43GI0A3aUIw,947,Mexican,3.5,1
uuDvk4EsRUkeTj4jVKJOpw,940,Japanese,3.5,1
wQjQHZKH_DxwntbSe1QdxQ,930,Indian,3.5,1
1gTFlS3hMmZTdp-GDsX3_A,198,American,1.5,0
9ieA0TyApI94wEqqW_r93w,46,Chinese,1.5,0
KvZCCFD8RTyeNe7L4_mLog,37,Chinese,1.5,0
51sNqQbyaFBQ7UdecrZ1gw,575,American,2,0
ETiWBqqeYmr_9U4L5CJaig,420,Mexican,2,0
1uQJ10U7g6Erz5yZ0l_g3w,258,American,2,0
x31Xmdw1ekbG-TdD8hT0_w,165,Indian,2,0
5ccJFGa6crpptt9tW0YKAA,130,Indian,2,0
bvNXEdDaUyy8zkth500qaw,96,Indian,2,0
XF9MChLaOvtaFV-bReLBqQ,92,Chinese,2,0
pPcvrJL27P4Q4oZaJ946QA,73,Japanese,2,0
UFeM5FPHjl1y8RQ4tvBSog,69,Chinese,2,0
vAlfZ1NitNxyhJlxmHoTyg,60,Chinese,2,0
dz88dkY9JaoXe2sF8MSjVQ,823,Japanese,2.5,0
dwq7d6w1DD_D5jjPWQo-XA,654,Mexican,2.5,0
POGfmcCkuLpkP_Vz98DuwQ,647,Mexican,2.5,0
TYVIfbcJ3YT4CP1roKMshg,534,Mexican,2.5,0
2oTv1oZ5qF43P2K8DkDtyg,427,Indian,2.5,0
zBORlLYwMqqJ_GOX6K31mw,391,Mexican,2.5,0
_RhAY03oEBw9HNwUAJyBCw,384,Chinese,2.5,0
YjAM0lKyc_ysySljDLfH0Q,343,Mexican,2.5,0
441p9X0RMR4epB_yOHs73A,287,Mexican,2.5,0
sul_ihulQ5VUPNbk9liWqA,270,Mexican,2.5,0
iV4Qm5DnGChgrnbYG20ASw,257,Mexican,2.5,0
qpFoZi5PqY7KVWCRNOmFGw,218,Chinese,2.5,0
3M6CsWQ_FIAzpxnuqq_eHw,213,Mexican,2.5,0
F76RYME8VeIIJDkVCOe0rg,192,Mexican,2.5,0
inp9N7bo9zqQSa8h8UBhqg,185,Chinese,2.5,0
LYp3izplqg0x-h9CBlb-MQ,184,Chinese,2.5,0
5TJdeGTJSOPjfJvGGO9cRw,183,Indian,2.5,0
qmSBFiAikpyUO3JA8ez1Ow,166,Mexican,2.5,0
ZkpKRf_AenlKegg2-NSA3g,162,Indian,2.5,0
KnvGnK2-wm2RHjKTIPch8w,133,Japanese,2.5,0
lm9LY7UYOhVqS3V9_XRePA,130,Japanese,2.5,0
qQPs2IvY81FX0wX3vRnHqg,129,Indian,2.5,0
1hbAbWZ3bdJCSg_EoS4zyQ,126,Indian,2.5,0
U0EJ4URMoFHJEzAkMp4WWQ,123,Chinese,2.5,0
7B7lFbjmXqim9LCpr-jBQg,111,Mexican,2.5,0
9tjTiVC2HepvHwEPdc677g,108,Indian,2.5,0
_lixxjh89aMAcEhyvQDIiQ,107,Indian,2.5,0
_tHF8-3rbyMesgdkQzB2yQ,3478,American,3,0
V6xlMNLFTsxB4W0VVcRK_Q,2478,American,3,0
AcbabScZqRVPwC-aaim0Fw,1638,American,3,0
7VqMGK9uwi0vKqOjdKyIUA,1499,Japanese,3,0
wrFoBJM9SsHIfz2VaqgmSg,1414,American,3,0
hGWYNCUmDLk_H_Mu3oV9HA,1360,Mexican,3,0
FPuOTMD-dmXTFz3rUsEkMg,1247,Japanese,3,0
4yN0ToNK3F4DB9mQX2-DUg,1176,American,3,0
0u411BT5S3hGdnjkQ3eLOA,1076,Mexican,3,0
zxdsVR_hHUzhBFfus4yd7A,869,Mexican,3,0
1SgiWHlFN5mp5gNLSGx2Ww,836,Indian,3,0
YRfDdBgWS4T80oJfKmVThA,770,American,3,0
opyY8Zk2RqiwLu9SzkQXJA,761,American,3,0
dy3JvLV06a4CyuMjoGkF1g,723,American,3,0
Te2iLepC0UrJRzVKexFukQ,704,Chinese,3,0
kGkAU_WT0BjDZsSD5keRZA,676,American,3,0
60_ONUWGij1TbvDHSEcOpQ,675,American,3,0
RyEd54MOTc5OcYtOiDt11g,671,Mexican,3,0
n9k_IC4VSRcoF3wV0bG8cQ,647,American,3,0
zxMoUHqFiI3rKoKdY8SFwg,624,Mexican,3,0
lpLd3AFaMOV7LfPtvUiq8A,622,Chinese,3,0
8bnQ06S07cxZNIW1ljBURA,609,Japanese,3,0
MYPes7EWP5aLiVG1Z_9eFQ,106,Chinese,3,0
rJeh77RIvtmISisvVoy6TA,105,Chinese,3,0
XoxEVVf5Ci8nibQ-Q4P0nQ,105,Chinese,3,0
dSaMEWm0EQTG4TOeUetU5w,104,Chinese,3,0
kYJbGSjyXocbRrgMV-zExg,104,Chinese,3,0
hdiQrGDT8enOzpxaipBzNA,102,Chinese,3,0
Fj9ZANHw4gVd1W7UljnTFw,101,Mexican,3,0
juULANORQ2onWkEvSMjlaw,101,Mexican,3,0
RdcqVP_xjxQEbNRMYccBQw,100,Indian,3,0
AABqAsYdRI9gSyU1gStdxg,100,Mexican,3,0
j5nUzWJQ-gzbzPMZknHzQg,99,Japanese,3,0
vbZTBg-EDGJ-WMSMna707g,98,American,3,0
nBoOm-TAhRvbcDkHfKOwGg,98,Indian,3,0
#NAME?,98,Indian,3,0
WbCZW0OBcakQ9oxsLsw8vg,97,Indian,3,0
0Zjp3JcxwNijCBWEKd7Nyg,97,Japanese,3,0
XDFrK9kelRfGcQvBN3O1OA,96,Indian,3,0
w2oSwwvOf-DBnEUumq_TIA,602,Indian,3,0
zVvEFNvlyBbQ6edjIE2gBg,537,Mexican,3,0
_fLkAgigkhOnzZMj7uHZ1A,515,American,3,0
fkKcK6BFZehJZTP2roO5JA,507,American,3,0
2WjCRp9PwNzM-6HrY1V2Gw,501,Mexican,3,0
Kn-tx5wO2AoEjCaYk9kIpw,498,American,3,0
g_5V15Xp1OvB1QXuGMstYA,480,Chinese,3,0
OoFr5pilPnfIhH5Uvj7aAw,479,Mexican,3,0
LyCE268_fz_MAZieFZY1lA,475,Mexican,3,0
LX6VHI1RH5cdCELjrpeUQQ,465,American,3,0
zj4vqgljRhxwWlvttgFRKQ,460,Japanese,3,0
RoXFN-T1s6moM5smbY_5Gw,442,Chinese,3,0
fSQyhOKiZKtw0firV29EVg,432,American,3,0
i0CffTc5rmXjQOqq7g3I6Q,429,Mexican,3,0
v2dtG37r1ThqtfEfiFsAUg,426,Chinese,3,0
B-MDhRKRTmTqj4Vp_p8AGw,423,American,3,0
j4ZaQA8Ht9MFKz942uRG7g,423,Mexican,3,0
EDLKX7cCxPbmbmo1XG3xJQ,415,Chinese,3,0
WrMu2G5M2im56uYKTd4Bgw,414,Indian,3,0
_EvMuZ9HDTdEZeRf-IJlQQ,409,American,3,0
wtQHeGI3L04xCJ5jODsRlg,407,Mexican,3,0
