id/s,review_count/n,categories/s,rating/n
K7u5sEQW1LcIJxjpUS1STg,1,Indian,5
pMdhVoZuxIQGYOD8tsWMpA,1,Indian,5
Pqp4dGeEwCG1cH9mZq2rJA,1,Indian,5
QEudjEGzNalNUN2V2dZVJA,1,Indian,5
Tl62WKPOTpGfhSTcHNKkLQ,1,Indian,5
#NAME?,1,Indian,5
ckQo_h2SQn7GpqNSio6XFg,1,Japanese,5
HDoJIH-qW9FqJ5WB-bKTqA,1,Japanese,5
vlZ9k3e_1N_h_ybhrl278g,1,Japanese,5
4wDGKf3dsSo2b3svJHh-qw,1,Mexican,5
aj-cNy6I_1vp_hZ5UKQkbg,1,Mexican,5
fHMJAA4zGq2XuuIB_EGUjw,1,Mexican,5
Hgd9S3yF78Yv6mewc44QVQ,1,Mexican,5
HRVwC0lKr6nMw_IsxQFg8A,1,Mexican,5
KF6SeIlSSy3ZJ_uAwL1TYQ,1,Mexican,5
NlouHE3sXGxeLn7UdXsvzg,1,Mexican,5
qiiRhWjklqzxS4ApGKLP-Q,1,Mexican,5
RwHvEJexGnoSmo9X446UbQ,1,Mexican,5
xEnNFXtMLDF5kZDxfaCJgA,8753,Indian,4.5
veq1Bl1DW3UWMekZJUsG1Q,2460,American,4.5
b8a-8u_A51v2IzyjLVsx6w,2392,American,4.5
jnEv25Y2DosTq2sNnvmC9g,2130,Mexican,4.5
ETgJqJHV7BW6pIr9Ox74sA,1979,American,4.5
nRO136GRieGtxz18uD61DA,1768,American,4.5
qLLxS7RwNEjP_jq_KQrPfA,1731,American,4.5
PBUIaPtgnhmdHE3KHglK-g,1676,American,4.5
#NAME?,1615,Chinese,4.5
tiSw-6DIm3-mMORyEIOVyg,1584,Chinese,4.5
ehUuSk5gPTCQmwS_ubgKRA,1519,American,4.5
B3_K2kUVbYOU0VaLcj_LTw,1432,Indian,4.5
_gzXNKarTxagBp6_PkmQKw,1416,American,4.5
j0n_poMVZnODYOFviLbh0Q,1400,Indian,4.5
JUPxlDVMxuRSsqMcH6RCVg,1383,Japanese,4.5
DZaN3bNWfwcm__sNw5bvDg,1362,American,4.5
MfbVI5reXLIIs8Cc2HwgQw,1327,American,4.5
x0k5kFArHLijdY8-NEQ7Xg,1158,Indian,4.5
sCC7-hSdCkNPExejZT9BAQ,1150,Indian,4.5
hJrZIHNRVUuC_PXAORxj9g,1086,American,4.5
zGAQqDu0Ak2khVYs9WdQxw,1083,Japanese,4.5
z5hRX3iJ5Ty_S38iG_WY3Q,1052,American,4.5
pGr5QuQU7Ur5GHLvXbT8bw,1047,Indian,4.5
lxNU-aBq0yPwBDx-i89ahA,1023,Indian,4.5
X8ZS-dgiMIJvhwf9SaDnjw,938,Chinese,4.5
kxykwx5qTWBhlMh18MQ82Q,920,Mexican,4.5
jAaVnUKLITkuhzwXIe0vLQ,914,Indian,4.5
4Objcs7HXSGuzpb0SOa-Jw,867,American,4.5
FoR70YoGSb4_QavCe1WZEw,845,Japanese,4.5
txSykTj5nbwmpiVNoK_Dyg,836,American,4.5
fVbUVAiLiGgLA_nxBFxyww,820,American,4.5
_LJFf9YqpYxvExTvVxb7Rw,805,American,4.5
SaYTVG7wHCMDBofHCgXPaA,714,American,4.5
zo4mcEfVKaktdj_gnSFhGQ,706,American,4.5
c3Ww3pgeHjBi3ctkeUWrjQ,689,American,4.5
9pMhRYYgV7E9L7pzECtJKA,687,Indian,4.5
KfZI6oovMvG5tLd0NFBeKQ,671,Mexican,4.5
3Ic4C60oSH1cV2jknUXSjQ,650,American,4.5
lESxFswvOPUFUzj6HsTnqw,640,Japanese,4.5
8fr5FYU1ip0phERt1mrekg,638,Japanese,4.5
FlZ1zdVEKWv7dwqm8Uw8-w,636,Japanese,4.5
nD7Hcq5aaCASbWzc0-Sg3A,629,American,4.5
WqjqHMozyW42XLTtLnKGag,607,Mexican,4.5
6Ct7OeTRn4caY9g0swFBsw,579,American,4.5
a-Bq_yXFVk2PptoWpmry3w,575,Chinese,4.5
8M_0cxAChoXl7Ls9YkWJlg,546,Chinese,4.5
26E3j9l0XW_onVIUP-ThCw,538,American,4.5
mESab-FqL5QqSVsnX72asQ,525,Japanese,4.5
wGFSTTB6b4MHJJUzBnVJeg,520,American,4.5
SULHf6nGQ8sK0UpG1XU30w,511,Mexican,4.5
veku2cg2qaV-7MxwhOMBmg,505,American,4.5
wSGZA3DOFSUvALZRKCM_Sw,495,Japanese,4.5
8WnHtvMdPWE66eSkUdbLhQ,494,Mexican,4.5
cUyfnb3E7HvzNfbTgTjl_Q,490,Mexican,4.5
TcuWyuZAORVnQBPCMNbTgw,484,Indian,4.5
Ck09FempamAKGSPsV_bX-A,483,Mexican,4.5
lynQoI3w_pzYfHGeuUU-Qg,475,Chinese,4.5
ZZxYVgodx2TxbYwh-0YU1w,469,Mexican,4.5
fVsH6QIJPzXpVbgmeiolsA,467,Japanese,4.5
4CAJ-JvgbzBdoWq1CXtCFw,461,Japanese,4.5
tIjQyHOubGeKRnx4wSwOeA,447,Indian,4.5
sGqKDtizXj3tg9jnAc9FeQ,437,Mexican,4.5
l4fwf8VwAokv3MWT45Ab7g,436,Indian,4.5
diCW3Pj1PTVRSyol_d7cZw,428,Japanese,4.5
TBp9gdS6xEbSQqffVZ7iag,423,Japanese,4.5
ytABgZNWnFXQUjOYjh460A,422,Japanese,4.5
LpVbI-E9C-CSp7WhU5h2Iw,421,Chinese,4.5
9YXvNE2jpEhA4k6M8WDH7A,412,American,4.5
6gDUVNZo0E9lxO2DkAhHOQ,410,American,4.5
s3jou_L_LVYGkNHiuhjlew,410,Japanese,4.5
JXcYD52B4190gIh6_RSXCg,401,American,4.5
unWoFZeSWa0DK1YMekO_Uw,399,American,4.5
wctR1TrheHAwpHZ2sJknEw,387,Indian,4.5
FsuJ7VC5vxX3wcLhFrb97Q,379,Japanese,4.5
dgU5NoylJVJ5rDZY_PezkA,375,Japanese,4.5
oqVG2LsTwvRzgJxId5pqiw,371,Indian,4.5
nEkVibaTuIFEcTNtltFgJg,370,Japanese,4.5
SdESb_kSAV6b0WD813J4WQ,369,Japanese,4.5
7OMGEtFWT6sdd9TVuoGqJQ,360,Japanese,4.5
uVHa8BktK6jjYTaSxra-sg,360,Japanese,4.5
x3NeZ4xToUxVKDoZ32D5tg,358,Indian,4.5
NMDrXW5_qnme1hcJrXNP9Q,356,American,4.5
axqp3pGJXnTLgq2QrPyDyQ,354,Japanese,4.5
k3iUNUGsl-xpQ_EsOfTadA,354,Mexican,4.5
1_pK5aQ47atF50oAKHADhA,348,Indian,4.5
PdzL9svqapSqH4o8bF86Pw,348,Indian,4.5
TDyu1-6XF7r1jc13j7nDNA,346,American,4.5
u5iwtmfzGCqGYCYOTzQrQA,344,American,4.5
SP4bvMvxel_UPdof_er3HA,339,Indian,4.5
L3REPLCvQpMapYPd_fkS-A,339,Mexican,4.5
vscYK65F_MUH8WqACKSdog,332,American,4.5
R7EGjHWw0tNheY6-ahH8fQ,327,American,4.5
TMzgYJWl-DeKaA3kGcuK8A,326,American,4.5
ZikqL-flwV2XYlKtL2UfmA,323,Indian,4.5
Xjswj531-FkRZPpcccU6kQ,323,Mexican,4.5
XipQLDbyTl5tsLlyzAWzug,320,American,4.5
APeTQNsmzQmUHB5qoiuTEg,317,American,4.5
ogEtpbCgxv38PyB3ebivqQ,316,Indian,4.5
PnGSE8JGbMZKtdHi9go7Kg,313,American,4.5
VSPkVw9gSQx-5v4A6aC_YA,309,Indian,4.5
ogw2U2u5EHjfQih-WvgI3Q,308,American,4.5
S6r0P0PItA9EYHV1nCiQgg,304,Indian,4.5
_hvgCRW8Vw1n3Usr9RPoUg,302,American,4.5
Py_oBQpNR8kMI3GbH-71Yg,302,American,4.5
3Gz07E5YJjDTJPSuzsAStQ,300,Japanese,4.5
f8ipr8Wdy1_wHhw7JgNqPQ,299,American,4.5
m2_ZNFos5ugAwe8ft8eaEw,288,Chinese,4.5
tjstlcFtOiXnUU1MAG1uqg,288,Indian,4.5
SUVMcqAwPHhcRMtfv_djRQ,287,Mexican,4.5
S7ivv5O0beH3U9cV3cRD_Q,280,Indian,4.5
OFfZUS-nu6NDnsWe1B2bUQ,280,Japanese,4.5
bdKc4CSJPv-XLgxVwrtPrg,279,American,4.5
AjlmpAQV8W4--y0EksO-9g,278,Japanese,4.5
HM7Mz6Hpxts58JJP7qELNQ,276,Indian,4.5
BxnrBKdLwdaEXyq97uxgKg,276,Mexican,4.5
OOoua3Q6PfqtImv3DjdcWw,274,American,4.5
izRJeBfDQYJmd6ibIQ6Mfg,274,Indian,4.5
x7hsZRd_MyrUgAW91FM9qA,273,American,4.5
AUyKmFjpaVLwc3awfUnqgQ,272,American,4.5
v4X0_xdRmVDQ5qgyGAubHw,271,American,4.5
21y8cakUmhd3g13nh0cq9g,269,American,4.5
N5UY113nNpeKdLPv0cbMjQ,265,American,4.5
aJqjC4uAo6vhOpsVNCiMDA,263,American,4.5
C69uTzoWFaIWcpnYf2LbRw,262,Japanese,4.5
0vg2Z-HPwkyVVX613j2ysg,260,Japanese,4.5
jc_XQPbSCwMHsXLfinXA6A,259,Japanese,4.5
X2C0_I0seTtjW9uL8e8FBw,258,Mexican,4.5
87WfLan3_7K_OYPYd5zUIA,257,American,4.5
VR4Ki8V4f_B7GAGJSY9TRQ,256,American,4.5
YES1oCXuC-uggcnr8txElw,256,Indian,4.5
e1d40LtcHu8WU4iaJxLdVw,255,American,4.5
BYnd0Kbkrjhz0CGKMF1lqg,255,Indian,4.5
elvL_HW9jfLLDVhwoIx_Ww,251,Indian,4.5
5xI0Z0nqbaR-0FnPzg6VZg,248,American,4.5
hK14kghcSPkljAqzEHNemA,248,American,4.5
95a04LtXLX6gePhPEwff9A,248,Mexican,4.5
YDtIHtfvWd4W36wq6UAjoA,247,Indian,4.5
M2wnfA4K3DVwuAv0DCPTdQ,244,American,4.5
yrXECkTezsI0Twgalc7M-A,244,Mexican,4.5
pgGT9m03pNI15Ag2pAdY1Q,235,Indian,4.5
3PabSEZ2ESexVFZznyozVw,234,Indian,4.5
AlfkFxfD-cUBGA3Eq3j0Uw,233,Indian,4.5
6gzQLjzJk25ePm_JS7ZAug,231,American,4.5
3gqKLANaXNsHZnPDjKrcTg,229,American,4.5
7YJxZAvMxB-oVZfHAuvBmw,227,Indian,4.5
BxB7lV381jp5pmosnIBpGA,225,Indian,4.5
LTfR_0NiS7OIRCfkaAJg9w,225,Japanese,4.5
VVe74-TKuROBvyS1XgVmvw,225,Mexican,4.5
pNe8ZCkGTe4cXfKdOF7kYQ,223,Japanese,4.5
fjE_lpKblhrN_48X2ca-7w,223,Mexican,4.5
xR2Yeb_Nh0MOAiUIaqaVOg,222,American,4.5
IbB_7AxWQtDFW1iKnoD1Ug,220,Indian,4.5
o5HNVvccTdsiGjT4Pubddg,217,American,4.5
7xpbioe88rnW7JjzLEQeRg,215,Japanese,4.5
